"compound_id","pathway_id","pathway_name"
"C00158","map00020","Citrate cycle (TCA cycle)"
"C00122","map00020","Citrate cycle (TCA cycle)"
"C00042","map00020","Citrate cycle (TCA cycle)"
"C03033","map00040","Pentose and glucuronate interconversions"
"C06118","map00040","Pentose and glucuronate interconversions"
"C01094","map00051","Fructose and mannose metabolism"
"C20835","map00051","Fructose and mannose metabolism"
"C01355","map00051","Fructose and mannose metabolism"
"C02431","map00051","Fructose and mannose metabolism"
"C00795","map00052","Galactose metabolism"
"C00089","map00052","Galactose metabolism"
"C01620","map00053","Ascorbate and aldarate metabolism"
"C00818","map00053","Ascorbate and aldarate metabolism"
"C03033","map00053","Ascorbate and aldarate metabolism"
"C06423","map00061","Fatty acid biosynthesis"
"C02990","map00071","Fatty acid degradation"
"C19618","map00073","Cutin, suberine and wax biosynthesis"
"C19418","map00073","Cutin, suberine and wax biosynthesis"
"C18218","map00073","Cutin, suberine and wax biosynthesis"
"C19620","map00073","Cutin, suberine and wax biosynthesis"
"C01083","map00074","Mycolic acid biosynthesis"
"C22136","map00100","Steroid biosynthesis"
"C02530","map00100","Steroid biosynthesis"
"C22123","map00100","Steroid biosynthesis"
"C01789","map00100","Steroid biosynthesis"
"C22119","map00100","Steroid biosynthesis"
"C08813","map00100","Steroid biosynthesis"
"C07712","map00100","Steroid biosynthesis"
"C05107","map00100","Steroid biosynthesis"
"C01802","map00100","Steroid biosynthesis"
"C05465","map00120","Primary bile acid biosynthesis"
"C05468","map00120","Primary bile acid biosynthesis"
"C17337","map00120","Primary bile acid biosynthesis"
"C00245","map00120","Primary bile acid biosynthesis"
"C05466","map00120","Primary bile acid biosynthesis"
"C00695","map00120","Primary bile acid biosynthesis"
"C05122","map00120","Primary bile acid biosynthesis"
"C17335","map00120","Primary bile acid biosynthesis"
"C17662","map00121","Secondary bile acid biosynthesis"
"C05466","map00121","Secondary bile acid biosynthesis"
"C05465","map00121","Secondary bile acid biosynthesis"
"C17644","map00121","Secondary bile acid biosynthesis"
"C00695","map00121","Secondary bile acid biosynthesis"
"C05122","map00121","Secondary bile acid biosynthesis"
"C00156","map00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"C13309","map00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"C00082","map00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"C00811","map00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"C14156","map00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"C13713","map00140","Steroid hormone biosynthesis"
"C02537","map00140","Steroid hormone biosynthesis"
"C05485","map00140","Steroid hormone biosynthesis"
"C05482","map00140","Steroid hormone biosynthesis"
"C18043","map00140","Steroid hormone biosynthesis"
"C01124","map00140","Steroid hormone biosynthesis"
"C05489","map00140","Steroid hormone biosynthesis"
"C00762","map00140","Steroid hormone biosynthesis"
"C01953","map00140","Steroid hormone biosynthesis"
"C18044","map00140","Steroid hormone biosynthesis"
"C00735","map00140","Steroid hormone biosynthesis"
"C05487","map00140","Steroid hormone biosynthesis"
"C01780","map00140","Steroid hormone biosynthesis"
"C11136","map00140","Steroid hormone biosynthesis"
"C00122","map00190","Oxidative phosphorylation"
"C00042","map00190","Oxidative phosphorylation"
"C02061","map00195","Photosynthesis"
"C00062","map00220","Arginine biosynthesis"
"C00025","map00220","Arginine biosynthesis"
"C00014","map00220","Arginine biosynthesis"
"C03406","map00220","Arginine biosynthesis"
"C00122","map00220","Arginine biosynthesis"
"C01250","map00220","Arginine biosynthesis"
"C00327","map00220","Arginine biosynthesis"
"C00385","map00230","Purine metabolism"
"C05512","map00230","Purine metabolism"
"C00014","map00230","Purine metabolism"
"C00366","map00230","Purine metabolism"
"C00294","map00230","Purine metabolism"
"C00387","map00230","Purine metabolism"
"C01762","map00230","Purine metabolism"
"C00242","map00230","Purine metabolism"
"C16365","map00232","Caffeine metabolism"
"C01762","map00232","Caffeine metabolism"
"C00385","map00232","Caffeine metabolism"
"C00106","map00240","Pyrimidine metabolism"
"C00380","map00240","Pyrimidine metabolism"
"C02067","map00240","Pyrimidine metabolism"
"C00041","map00250","Alanine, aspartate and glutamate metabolism"
"C00158","map00250","Alanine, aspartate and glutamate metabolism"
"C03406","map00250","Alanine, aspartate and glutamate metabolism"
"C00402","map00250","Alanine, aspartate and glutamate metabolism"
"C00014","map00250","Alanine, aspartate and glutamate metabolism"
"C12270","map00250","Alanine, aspartate and glutamate metabolism"
"C00042","map00250","Alanine, aspartate and glutamate metabolism"
"C00122","map00250","Alanine, aspartate and glutamate metabolism"
"C00025","map00250","Alanine, aspartate and glutamate metabolism"
"C03206","map00253","Tetracycline biosynthesis"
"C01888","map00260","Glycine, serine and threonine metabolism"
"C00014","map00260","Glycine, serine and threonine metabolism"
"C00097","map00260","Glycine, serine and threonine metabolism"
"C00300","map00260","Glycine, serine and threonine metabolism"
"C06231","map00260","Glycine, serine and threonine metabolism"
"C00188","map00260","Glycine, serine and threonine metabolism"
"C03972","map00261","Monobactam biosynthesis"
"C00019","map00261","Monobactam biosynthesis"
"C20916","map00261","Monobactam biosynthesis"
"C17351","map00261","Monobactam biosynthesis"
"C20918","map00261","Monobactam biosynthesis"
"C00082","map00261","Monobactam biosynthesis"
"C00188","map00261","Monobactam biosynthesis"
"C12323","map00261","Monobactam biosynthesis"
"C00062","map00261","Monobactam biosynthesis"
"C05324","map00270","Cysteine and methionine metabolism"
"C00097","map00270","Cysteine and methionine metabolism"
"C02989","map00270","Cysteine and methionine metabolism"
"C05824","map00270","Cysteine and methionine metabolism"
"C00041","map00270","Cysteine and methionine metabolism"
"C02356","map00270","Cysteine and methionine metabolism"
"C00506","map00270","Cysteine and methionine metabolism"
"C00073","map00270","Cysteine and methionine metabolism"
"C00606","map00270","Cysteine and methionine metabolism"
