id,name,type,kegg,taxonomy_phylum,taxonomy_class,family
MIC_00001,Acetobacter aceti,organism,,Proteobacteria,Alphaproteobacteria,Acetobacter
MIC_00002,Acetobacter estunensis,organism,,Proteobacteria,Alphaproteobacteria,Acetobacter
MIC_00003,Acetobacter lovaniensis,organism,,Proteobacteria,Alphaproteobacteria,Acetobacter
MIC_00004,Acetobacter pasteurianus,organism,,Proteobacteria,Alphaproteobacteria,Acetobacter
MIC_00005,Acetobacter tropicalis,organism,,Proteobacteria,Alphaproteobacteria,Acetobacter
MIC_00006,Amycolatopsis spp.,organism,,Unknown,Unknown,Amycolatopsis
MIC_00007,Aspergillus clavatus,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00008,Aspergillus flavus,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00009,Aspergillus fumigatus,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00010,Aspergillus nidulans,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00011,Aspergillus niger,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00012,Aspergillus oryzae,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00013,Aspergillus terreus,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00014,Aspergillus versicolor,organism,,Ascomycota,Eurotiomycetes,Aspergillus
MIC_00015,Aureobasidium melanogenum,organism,,Unknown,Unknown,Aureobasidium
MIC_00016,Aureobasidium pullulans,organism,,Unknown,Unknown,Aureobasidium
MIC_00017,Bacillus amyloliquefaciens,organism,,Firmicutes,Bacilli,Bacillus
MIC_00018,Bacillus brevis,organism,,Firmicutes,Bacilli,Bacillus
MIC_00019,Bacillus cereus,organism,,Firmicutes,Bacilli,Bacillus
MIC_00020,Bacillus firmus,organism,,Firmicutes,Bacilli,Bacillus
MIC_00021,Bacillus laterosporus,organism,,Firmicutes,Bacilli,Bacillus
MIC_00022,Bacillus licheniformis,organism,,Firmicutes,Bacilli,Bacillus
MIC_00023,Bacillus megaterium,organism,,Firmicutes,Bacilli,Bacillus
MIC_00024,Bacillus pumilus,organism,,Firmicutes,Bacilli,Bacillus
MIC_00025,Bacillus stearothermophilus,organism,,Firmicutes,Bacilli,Bacillus
MIC_00026,Bacillus subtilis,organism,,Firmicutes,Bacilli,Bacillus
MIC_00027,Brettanomyces spp.,organism,,Unknown,Unknown,Brettanomyces
MIC_00028,Brevibacterium linens,organism,,Unknown,Unknown,Brevibacterium
MIC_00029,Burkholderia spp.,organism,,Unknown,Unknown,Burkholderia
MIC_00030,Candida glabrata,organism,,Ascomycota,Saccharomycetes,Candida
MIC_00031,Candida parapsilosis,organism,,Ascomycota,Saccharomycetes,Candida
MIC_00032,Candida shehatae,organism,,Ascomycota,Saccharomycetes,Candida
MIC_00033,Candida tropicalis,organism,,Ascomycota,Saccharomycetes,Candida
MIC_00034,Candida utilis,organism,,Ascomycota,Saccharomycetes,Candida
MIC_00035,Cladosporium cladosporioides,organism,,Unknown,Unknown,Cladosporium
MIC_00036,Cladosporium herbarum,organism,,Unknown,Unknown,Cladosporium
MIC_00037,Cladosporium sphaerospermum,organism,,Unknown,Unknown,Cladosporium
MIC_00038,Cladosporium spp.,organism,,Unknown,Unknown,Cladosporium
MIC_00039,Clostridium acetobutylicum,organism,,Unknown,Unknown,Clostridium
MIC_00040,Clostridium beijerinckii,organism,,Unknown,Unknown,Clostridium
MIC_00041,Clostridium butyricum,organism,,Unknown,Unknown,Clostridium
MIC_00042,Clostridium difficile,organism,,Unknown,Unknown,Clostridium
MIC_00043,Clostridium spp.,organism,,Unknown,Unknown,Clostridium
MIC_00044,Corynebacterium glutamicum,organism,,Unknown,Unknown,Corynebacterium
MIC_00045,Cryptococcus albidus,organism,,Unknown,Unknown,Cryptococcus
MIC_00046,Cryptococcus laurentii,organism,,Unknown,Unknown,Cryptococcus
MIC_00047,Cupriavidus necator,organism,,Unknown,Unknown,Cupriavidus
MIC_00048,Debaryomyces hansenii,organism,,Unknown,Unknown,Debaryomyces
MIC_00049,Desulfovibrio spp.,organism,,Unknown,Unknown,Desulfovibrio
MIC_00050,E. coli,organism,,Unknown,Unknown,E.
MIC_00051,E. coli (engineered),organism,,Unknown,Unknown,E.
MIC_00052,Enterobacter cloacae,organism,,Unknown,Unknown,Enterobacter
MIC_00053,Enterobacter spp.,organism,,Unknown,Unknown,Enterobacter
MIC_00054,Erwinia herbicola,organism,,Unknown,Unknown,Erwinia
MIC_00055,Gluconobacter asaii,organism,,Proteobacteria,Alphaproteobacteria,Gluconobacter
MIC_00056,Gluconobacter frateurii,organism,,Proteobacteria,Alphaproteobacteria,Gluconobacter
MIC_00057,Gluconobacter oxydans,organism,,Proteobacteria,Alphaproteobacteria,Gluconobacter
MIC_00058,Hanseniaspora guilliermondii,organism,,Unknown,Unknown,Hanseniaspora
MIC_00059,Hanseniaspora uvarum,organism,,Unknown,Unknown,Hanseniaspora
MIC_00060,Klebsiella pneumoniae,organism,,Unknown,Unknown,Klebsiella
MIC_00061,Kluyveromyces marxianus,organism,,Unknown,Unknown,Kluyveromyces
MIC_00062,Lactobacillus brevis,organism,,Firmicutes,Bacilli,Lactobacillus
MIC_00063,Lactobacillus casei,organism,,Firmicutes,Bacilli,Lactobacillus
MIC_00064,Lactobacillus fermentum,organism,,Firmicutes,Bacilli,Lactobacillus
MIC_00065,Lactobacillus plantarum,organism,,Firmicutes,Bacilli,Lactobacillus
MIC_00066,Lactobacillus rhamnosus,organism,,Firmicutes,Bacilli,Lactobacillus
MIC_00067,Lactococcus lactis,organism,,Unknown,Unknown,Lactococcus
MIC_00068,Leuconostoc mesenteroides,organism,,Unknown,Unknown,Leuconostoc
MIC_00069,Leuconostoc pseudomesenteroides,organism,,Unknown,Unknown,Leuconostoc
MIC_00070,Malassezia restricta,organism,,Unknown,Unknown,Malassezia
MIC_00071,Mentha spp. endophytes,organism,,Unknown,Unknown,Mentha
MIC_00072,Meyerozyma guilliermondii,organism,,Unknown,Unknown,Meyerozyma
MIC_00073,Moniliella pollinis,organism,,Unknown,Unknown,Moniliella
MIC_00074,Mucor circinelloides,organism,,Unknown,Unknown,Mucor
MIC_00075,Oenococcus oeni,organism,,Unknown,Unknown,Oenococcus
MIC_00076,Pantoea agglomerans,organism,,Unknown,Unknown,Pantoea
MIC_00077,Pantoea ananatis,organism,,Unknown,Unknown,Pantoea
MIC_00078,Penicillium camemberti,organism,,Ascomycota,Eurotiomycetes,Penicillium
MIC_00079,Penicillium chrysogenum,organism,,Ascomycota,Eurotiomycetes,Penicillium
