ID,name,type,kegg,formula,super_class,class,sub_class,family,description,importance
METAB_00001,β-Damascenone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,C13降异戊二烯酮类化合物，由β-胡萝卜素或紫黄质经氧化裂解生成，是烟草清香型香气的核心贡献者，香气阈值极低(0.002 ng/L)。,极高 - 烟草甜润果香和花香的标志性成分
METAB_00002,β-Ionone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"C13环状酮类降异戊二烯，由β-胡萝卜素9,10位裂解生成，具有紫罗兰样花香，是烟草花香调的重要贡献者。",高 - 赋予烟草紫罗兰花香和木香基调
METAB_00003,α-Ionone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰酮，由α-胡萝卜素裂解生成，具有温暖的紫罗兰-木香，香气较β-紫罗兰酮柔和。,中高 - 增加烟草花香的温暖感
METAB_00004,β-Damascone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的异构体，具有玫瑰和水果香气，是烟草果香调的重要成分。,高 - 增强烟草玫瑰和果香调
METAB_00005,α-Damascone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-大马酮异构体，具有玫瑰和薄荷样香气，在烟草中含量较低但对香气有修饰作用。,中 - 修饰烟草花香的薄荷调
METAB_00006,3-Hydroxy-β-damascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的羟基衍生物，是烟草中重要的中性香气成分，具有更浓郁的果香。,高 - 烟草果香的重要贡献者
METAB_00007,4-Hydroxy-β-damascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的4-羟基衍生物，是烟草陈化和发酵过程中产生的重要香气前体。,中高 - 烟草陈化香气的贡献者
METAB_00008,Megastigmatrienone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮，由GGPP衍生或类胡萝卜素裂解产生的C13酮类，是烟草甜香和烘烤香的重要前体。,极高 - 烟草甜香和木香的核心成分
METAB_00009,Megastigmatrienone B,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮B异构体，在雪茄烟叶发酵中含量显著增加，是甜香的主要贡献者之一。,高 - 增强烟草甜香和坚果香
METAB_00010,Megastigmatrienone C,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮C异构体，与B异构体协同贡献烟草甜香。,高 - 与其他异构体协同增强甜香
METAB_00011,Theaspirone,metabolite,,C10H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷酮，由类胡萝卜素裂解产生的C10双环醚酮，具有茶香和木香。,中 - 增加烟草茶香和木香
METAB_00012,Theaspirane A,metabolite,,C10H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷A，C10双环醚类化合物，具有独特的茶香和花香。,中 - 贡献烟草茶香调
METAB_00013,Theaspirane B,metabolite,,C10H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷B，茶螺烷A的异构体，香气特征相似。,中 - 与A异构体协同贡献茶香
METAB_00014,3-Oxo-α-ionol,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰醇的氧化产物，是烟草中重要的C13降异戊二烯醇酮。,中高 - 烟草果香和木香的贡献者
METAB_00015,"3-Oxo-7,8-dihydro-α-ionol",metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-氧代-7,8-二氢-α-紫罗兰醇，是烟草发酵中由3-氧代-α-紫罗兰醇还原生成。",中 - 增加烟草木香和甜香
METAB_00016,Grasshopper ketone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,蚱蜢酮，由新黄质裂解产生的C13酮类，是β-大马酮等重要香气物质的前体。,中高 - 重要香气前体物质
METAB_00017,Blumenol A,metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇A，C13降异戊二烯醇，由叶黄素裂解产生，具有木香和甜香。,中 - 烟草木香和甜香的贡献者
METAB_00018,Brevicomins,metabolite,,C10H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,短尾酮类化合物，由类胡萝卜素裂解产生的C10双环酮醇，具有甜香和果香。,中 - 增加烟草甜香和果香
METAB_00019,Vomifoliol,metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,催吐醇，C13降异戊二烯三醇，是β-大马酮等香气物质的氧化前体。,中 - 重要香气前体
METAB_00020,"4,4-Dihydroxy-β-ionone",metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"4,4-二羟基-β-紫罗兰酮，β-紫罗兰酮的双羟基衍生物。",中 - 香气前体物质
METAB_00021,3-Hydroxy-β-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-β-紫罗兰酮，β-紫罗兰酮的羟基衍生物，是烟草中重要的香气前体。,中高 - 重要香气前体和修饰剂
METAB_00022,β-Damascenone glycoside precursor,metabolite,,C19H28O8,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮糖苷前体，在发酵过程中经糖苷酶水解释放游离β-大马酮。,高 - 重要香气前体库
METAB_00023,3-Hydroxydamascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基大马酮，大马酮的羟基衍生物，具有果香和花香。,中 - 增强烟草果香
METAB_00024,3-Oxo-α-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-氧代-α-紫罗兰酮，α-紫罗兰酮的氧化产物。,中 - 香气修饰剂
METAB_00025,3-Oxo-β-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-氧代-β-紫罗兰酮，β-紫罗兰酮的氧化产物。,中 - 香气修饰剂
METAB_00026,4-Hydroxy-β-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,4-羟基-β-紫罗兰酮，β-紫罗兰酮的4位羟基衍生物。,中 - 香气前体
METAB_00027,4-Oxo-β-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,4-氧代-β-紫罗兰酮，β-紫罗兰酮的4位氧化产物。,中 - 香气修饰剂
METAB_00028,Dihydroactinidiolide,metabolite,,C11H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,二氢猕猴桃内酯，由β-胡萝卜素裂解产生的C11内酯，具有木香和麝香。,高 - 烟草木香和麝香的重要贡献者
METAB_00029,Actinorhodin-related norisoprenoid,metabolite,,C11H14O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,C11降异戊二烯内酯类，与二氢猕猴桃内酯结构相似。,中 - 修饰烟草木香
METAB_00030,Megastigmatrienol,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯醇，巨豆三烯酮的还原产物，具有甜香和木香。,中高 - 增强烟草甜香
METAB_00031,Megastigmadienone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆二烯酮，巨豆三烯酮脱氢产物。,中 - 修饰烟草甜香
METAB_00032,Norisoprenoid C14 (β-Damascone epoxide),metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮环氧化物，由β-大马酮环氧化生成。,中 - 香气前体
METAB_00033,β-Ionone epoxide,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰酮环氧化物，β-紫罗兰酮的环氧化产物。,中 - 香气前体
METAB_00034,α-Ionol,metabolite,,C13H22O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰醇，α-紫罗兰酮的还原产物。,中 - 香气前体
METAB_00035,β-Ionol,metabolite,,C13H22O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰醇，β-紫罗兰酮的还原产物。,中 - 香气前体
METAB_00036,3-Hydroxy-α-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-α-紫罗兰醇，α-紫罗兰醇的羟基衍生物。,中 - 香气前体
METAB_00037,3-Hydroxy-β-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-β-紫罗兰醇，β-紫罗兰醇的羟基衍生物。,中 - 香气前体
METAB_00038,"3-Hydroxy-7,8-dehydro-β-ionol",metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-羟基-7,8-脱氢-β-紫罗兰醇。",中 - 香气前体
METAB_00039,6-Hydroxy-α-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,6-羟基-α-紫罗兰醇。,中 - 香气前体
METAB_00040,6-Hydroxy-α-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,6-羟基-α-紫罗兰酮。,中 - 香气前体
METAB_00041,Blumenol B,metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇B，布卢门醇A的异构体。,中 - 香气前体
METAB_00042,Blumenol C,metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇C，C13降异戊二烯醇。,中 - 香气前体
METAB_00043,"7,8-Dihydrovomifoliol",metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"7,8-二氢催吐醇，催吐醇的还原产物。",中 - 香气前体
METAB_00044,Dehydrovomifoliol,metabolite,,C13H18O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,脱氢催吐醇，催吐醇的氧化产物。,中 - 香气前体
METAB_00045,"4-Hydroxy-4,5-dihydro-β-ionone",metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"4-羟基-4,5-二氢-β-紫罗兰酮。",中 - 香气前体
METAB_00046,"3-Hydroxy-5,6-epoxy-β-ionone",metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-羟基-5,6-环氧-β-紫罗兰酮。",中 - 香气前体
METAB_00047,β-Ionyl acetate,metabolite,,C15H24O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰醇乙酸酯，糖苷水解后的酯化产物。,中 - 香气修饰剂
METAB_00048,Megastigmatrienone D,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮D异构体。,高 - 增强烟草甜香
METAB_00049,Megastigmatrienone E,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮E异构体。,中高 - 增强烟草甜香
METAB_00050,Solanone,metabolite,,C13H22O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮，烟草特有的西柏烷类C13酮类化合物，由西柏三烯醇氧化裂解生成，是烟草清甜香的特征成分。,极高 - 烟草清甜香和果甜香的特征成分
