gene_id,id,name,type,kegg,pfam,ec_number,description,category,super_class,family,organism
NtG_00001,CCD1,CCD1,protein,K01610,PF04140,EC 1.13.11.71,CCD1 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00002,CCD4,CCD4,protein,K01610,PF04140,EC 1.13.11.71,CCD4 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00003,CCD2,CCD2,protein,K01610,PF04140,EC 1.13.11.71,CCD2 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00004,β-carotene_9,β-carotene_9,protein,K01610,,EC 1.13.11.71,β-carotene_9 - enzyme for β-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00005,10-dioxygenase,10-dioxygenase,protein,K01610,PF04140;PF03171,EC 1.13.11.71,10-dioxygenase - enzyme for β-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00006,carotenoid_cleavage_dioxygenase,carotenoid_cleavage_dioxygenase,protein,K01610,PF04140;PF03171,EC 1.13.11.71,carotenoid_cleavage_dioxygenase - enzyme for α-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00007,CCD,CCD,protein,K01610,PF04140,EC 1.13.11.71; EC 1.14.-.-,CCD - enzyme for 3-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00008,cytochrome_P450,cytochrome_P450,protein,K01610,PF00067,EC 1.13.11.71; EC 1.14.-.-,cytochrome_P450 - enzyme for 3-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00009,P450_monooxygenase,P450_monooxygenase,protein,K01610,PF04140;PF03171,EC 1.13.11.71; EC 1.14.-.-,P450_monooxygenase - enzyme for 4-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00010,diterpene_synthase,diterpene_synthase,protein,K01610,PF00288;PF00155,EC 1.13.11.71; EC 5.4.99.18,diterpene_synthase - enzyme for Megastigmatrienone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00011,P450,P450,protein,K01610,PF00067,EC 1.13.11.71; EC 5.4.99.18,P450 - enzyme for Megastigmatrienone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00012,isomerase,isomerase,protein,K01610,PF00154;PF01266,EC 1.13.11.71; EC 5.3.-.-,isomerase - enzyme for Megastigmatrienone B biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00013,epoxidase,epoxidase,protein,K01610,,EC 1.13.11.71; EC 1.14.-.-,epoxidase - enzyme for Theaspirone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
