gene_id,name,type,kegg,pfam,ec_number,description,category,super_class,family,organism
NtG_00001,CCD1,gene,K01610,PF04140,EC 1.13.11.71,CCD1 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00002,CCD4,gene,K01610,PF04140,EC 1.13.11.71,CCD4 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00003,CCD2,gene,K01610,PF04140,EC 1.13.11.71,CCD2 - enzyme for β-Damascenone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00004,β-carotene_9,gene,K01610,,EC 1.13.11.71,β-carotene_9 - enzyme for β-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00005,10-dioxygenase,gene,K01610,PF04140;PF03171,EC 1.13.11.71,10-dioxygenase - enzyme for β-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00006,carotenoid_cleavage_dioxygenase,gene,K01610,PF04140;PF03171,EC 1.13.11.71,carotenoid_cleavage_dioxygenase - enzyme for α-Ionone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00007,CCD,gene,K01610,PF04140,EC 1.13.11.71; EC 1.14.-.-,CCD - enzyme for 3-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00008,cytochrome_P450,gene,K01610,PF00067,EC 1.13.11.71; EC 1.14.-.-,cytochrome_P450 - enzyme for 3-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00009,P450_monooxygenase,gene,K01610,PF04140;PF03171,EC 1.13.11.71; EC 1.14.-.-,P450_monooxygenase - enzyme for 4-Hydroxy-β-damascone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00010,diterpene_synthase,gene,K01610,PF00288;PF00155,EC 1.13.11.71; EC 5.4.99.18,diterpene_synthase - enzyme for Megastigmatrienone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
