ID,id,name,type,kegg,formula,super_class,class,sub_class,family,description,importance,odor_info,source
VOL_00001,β-Damascenone,β-Damascenone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,C13降异戊二烯酮类化合物，由β-胡萝卜素或紫黄质经氧化裂解生成，是烟草清香型香气的核心贡献者，香气阈值极低(0.002 ng/L)。,极高 - 烟草甜润果香和花香的标志性成分,浓郁甜香、花香、蜂蜜样、苹果样果香,Flavor_database
VOL_00002,β-Ionone,β-Ionone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"C13环状酮类降异戊二烯，由β-胡萝卜素9,10位裂解生成，具有紫罗兰样花香，是烟草花香调的重要贡献者。",高 - 赋予烟草紫罗兰花香和木香基调,紫罗兰花香、木香、浆果样香气,Flavor_database
VOL_00003,α-Ionone,α-Ionone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰酮，由α-胡萝卜素裂解生成，具有温暖的紫罗兰-木香，香气较β-紫罗兰酮柔和。,中高 - 增加烟草花香的温暖感,温暖紫罗兰香、木香、轻微果香,Flavor_database
VOL_00004,β-Damascone,β-Damascone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的异构体，具有玫瑰和水果香气，是烟草果香调的重要成分。,高 - 增强烟草玫瑰和果香调,玫瑰花香、李子样果香、茶香,Flavor_database
VOL_00005,α-Damascone,α-Damascone,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-大马酮异构体，具有玫瑰和薄荷样香气，在烟草中含量较低但对香气有修饰作用。,中 - 修饰烟草花香的薄荷调,玫瑰花香、薄荷凉感、果香,Flavor_database
VOL_00006,3-Hydroxy-β-damascone,3-Hydroxy-β-damascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的羟基衍生物，是烟草中重要的中性香气成分，具有更浓郁的果香。,高 - 烟草果香的重要贡献者,浓郁果香、李子香、烟草样,Flavor_database
VOL_00007,4-Hydroxy-β-damascone,4-Hydroxy-β-damascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮的4-羟基衍生物，是烟草陈化和发酵过程中产生的重要香气前体。,中高 - 烟草陈化香气的贡献者,甜润果香、花香、烟草本香,Flavor_database
VOL_00008,Megastigmatrienone,Megastigmatrienone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮，由GGPP衍生或类胡萝卜素裂解产生的C13酮类，是烟草甜香和烘烤香的重要前体。,极高 - 烟草甜香和木香的核心成分,甜香、木香、坚果香、烤香,Flavor_database
VOL_00009,Megastigmatrienone B,Megastigmatrienone B,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮B异构体，在雪茄烟叶发酵中含量显著增加，是甜香的主要贡献者之一。,高 - 增强烟草甜香和坚果香,甜香、坚果香、轻微木香,Flavor_database
VOL_00010,Megastigmatrienone C,Megastigmatrienone C,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮C异构体，与B异构体协同贡献烟草甜香。,高 - 与其他异构体协同增强甜香,甜香、干草香、轻微烟草香,Flavor_database
VOL_00011,Theaspirone,Theaspirone,metabolite,,C10H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷酮，由类胡萝卜素裂解产生的C10双环醚酮，具有茶香和木香。,中 - 增加烟草茶香和木香,茶香、木香、花香,Flavor_database
VOL_00012,Theaspirane A,Theaspirane A,metabolite,,C10H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷A，C10双环醚类化合物，具有独特的茶香和花香。,中 - 贡献烟草茶香调,茶香、花香、甜香,Flavor_database
