,name,id,formula,exact_mass,chebi,pubchem,cas,kegg,type,hmdb,lipidmaps,mesh,smiles,super_class,class,sub_class,Q1,Q3,xcms_id,mz,rt,intensity,npeaks,adducts,ppm,msi_level,supports,rank,ion_mode,kegg_class,kegg_category
BioCAD00000014001,Methyl ethyl ketone,Methyl ethyl ketone,C4H8O,72.0575118,ChEBI:28398,6569,78-93-3,C02845,metabolite,HMDB0000474,LMFA12000043,methylethyl ketone,CCC(C)=O,Organic oxygen compounds,Carbonyl compounds,Ketones,73.06478822,55.0547,M73T12,73.0658,11.9554,892599320.7,5,[M+H]+,13.17270996,1,21,0.232811895,pos,NULL,NULL
BioCAD00000013634,Magnesium carbonate,Magnesium carbonate,MgCO3,83.969795,ChEBI:31793,11029,546-93-0,C12893,metabolite,HMDB0303411,NULL,magnesium carbonate,[Mg++].[O-]C([O-])=O,NULL,NULL,NULL,84.97707142,84.9686,M85T30,84.9759,30.4677,167306109.4,1,[M+H]+,13.53806364,1,21,0.031319353,pos,NULL,NULL
BioCAD00000182689,METHACRYLOYL CHLORIDE,METHACRYLOYL CHLORIDE,C4H5ClO,104.002891,,13528,920-46-7,,metabolite,HMDB0254516,NULL,NULL,CC(=C)C(Cl)=O,NULL,NULL,NULL,105.0101674,86.9933,M105T30,105.0099,30.4457,78065746.4,3,[M+H]+,2.552182326,2,21,0.081405013,pos,NULL,NULL
BioCAD00000019766,Succinylacetone,Succinylacetone,C7H10O4,158.057906,ChEBI:87897,5312,51568-18-4,,metabolite,HMDB0000635,NULL,succinylacetone,CC(=O)CC(=O)CCC(O)=O,Organic acids,Keto acids,Medium-chain keto acids,159.0651824,159.0408,M159T39,159.0653,39.1875,9016175828,13,[M+H]+,1.036017595,2,18,1.865252555,pos,NULL,NULL
BioCAD00000004944,5-Sulfosalicylate,5-Sulfosalicylate,C7H6O6S,217.9885096,ChEBI:68555,7322,1997-5-2,C16199,metabolite,HMDB0011725,NULL,sulfosalicylic acid,OC(=O)C1=C(O)C=CC(=C1)S(O)(=O)=O,Benzenoids,Benzenes,Benzenesulfonyl compounds,200.985221,218.9862,M201T33,200.9825,32.6185,1007010740,13,[M+H-H2O]+,13.45549987,2,16,5.19E-07,pos,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism
BioCAD00000180312,Diphenyl sulfone,Diphenyl sulfone,C12H10O2S,218.040148,ChEBI:78360,31386,127-63-9,,metabolite,HMDB0251453,NULL,NULL,O=S(=O)(C1=CC=CC=C1)C1=CC=CC=C1,NULL,NULL,NULL,219.0474244,219.0473,M219T35,219.0473,34.9347,90922326.68,1,[M+H]+,0.513024912,2,9,0.06601314,pos,NULL,NULL
BioCAD00000004708,"5-(3-Buten-1-ynyl)-2,2'-bithiophene","5-(3-Buten-1-ynyl)-2,2'-bithiophene",C12H8S2,216.0067408,ChEBI:2015,70813,1134-61-8,C08397,metabolite,NULL,LMFA12000351,NULL,C1=CC=C(C2=CC=C(C#CC=C)S2)S1,NULL,NULL,NULL,217.0140172,217.04,M217T35_1,217.0147,35.2158,75084065.13,1,[M+H]+,3.086773559,1,4,0.018819464,pos,NULL,NULL
BioCAD00000028958,Pyrrolidine,Pyrrolidine,C4H9N,71.0734954,ChEBI:33135,31268,123-75-1,,metabolite,HMDB0031641,NULL,pyrrolidine,C1CCNC1,Alkaloids,Ornithine alkaloids,Pyrrolidine alkaloids,72.08077182,72.0812,M72T53,72.0818,52.9232,18715759543,20,[M+H]+,13.75231456,1,21,0.635918179,pos,NULL,NULL
BioCAD00000007176,Benzofuran,Benzofuran,C8H6O,118.0418626,ChEBI:35260,9223,271-89-6,C14512,metabolite,HMDB0032929,NULL,benzofuran,O1C=CC2=C1C=CC=C2,Organoheterocyclic compounds,Benzofurans,NULL,119.049139,91.055,M119T90,119.0491,89.5183,4816235400,20,[M+H]+,0.12747529,2,21,6.140420005,pos,NULL,NULL
BioCAD00000175629,"2,3',4,5'-Tetramethoxystilbene","2,3',4,5'-Tetramethoxystilbene",C18H20O4,300.136152,ChEBI:92804,5491,24144-92-1,,metabolite,HMDB0245669,NULL,"2,4,3',5'-tetramethoxystilbene",COC1=CC=C(C=CC2=CC(OC)=CC(OC)=C2)C(OC)=C1,NULL,NULL,NULL,301.1434284,301.1404,M301T40,301.1434,40.255,644414680.7,21,[M+H]+,0.041534308,2,17,3.877737813,pos,NULL,NULL
